Redacao	Nota
A maior parte da população mundial não sabe distinguir justiça de vingança. A justiça, em um de seus diversos aspectos, pode ser considerada como a conciliação entre o que é preciso ser feito e o que é certo a fazer. No entanto, a justiça, hoje, está se tornando sinônimo de vingança que, até mesmo, na Roma foi proibida por ser um ato irracional e, na maioria das vezes, cruel. Quase 10 anos após o atentado terrorista às Torres Gêmeas, os Estados Unidos vibraram quando a operação, contra a morte de Bin Landen, foi concluída. A operação, denominada como justiça, foi comemorada com tanto entusiasmo pelos estadunidenses, que o motivo dela nem parecia ser pela morte de uma pessoa. A Guerra Santa liderada por Osama apenas tornou-se um ciclo vicioso, no qual a vida de centenas e até milhares de pessoas inocentes foi tirada, devido à crença de estarem promovendo a justiça. Infelizmente, a tão procurada "justiça", ---, é um fato de âmbito mundial. Prisão perpétua por cometer crimes é admicível . Entretanto, matar alguém por crimes seria cometê-los novamente.  Se o mundo levasse à sério a ideia de "Olho por Olho...", todos ficariam cegos. E como ser justo, sem poder enxergar?	4
Vivemos em uma sociedade onde constantemente é abordado este tipo de assunto nos meios de comunicações. Infelizmente ainda existem muitas pessoas que tem dificuldade de entender quando se trata de justiça ou vingança, ressente mente tivemos o caso dos Estados Unidos, quando o presidente, Barack Obama, anunciou o sucesso da ação militar que resultou na morte de Bin Laden. A morte consistio na retaliação contra Bin Laden que foi percebido ou sentindo como prejudicial, passou pelo que passou para garantir que não seja capaz de repetir a ação nunca mais.  Percebesse que com isso da entender que foi necessário para manter uma sociedade justa. A falta de cultura limita muito conhecimento, mas ainda sim tem o entendimento que a morte de Bin Laden não foi correta, não deixou com a consciência limpa quando foi praticado, simplimente acarretou um peso que irão carregar nas costas que não permite ficar com a alma limpa. Os Estados Unidos não conseguio entender que, talvez, justiça é a maior virtude do homem, é algo que, de tão nobre, não está nas cabeças de todos os homens, infelizmente. Todos são iguais perante a lei, e todos têm iguais garantias legais, ou ainda, todos têm iguais direitos.  A justiça deve buscar a igualdade entre os cidadãos. Correto é ser juldado pelos crimes que cometeu sem pagar com a vida.	2
Não é preciso ser um especialista em assuntos sociais para concordar que confundir propositalmente, justiça com vingança,  gera conflitos de grandes proporções,  e é um perigo a segurança e a paz mundial. Os EUA, ao executar seu inimigo número um, Osama Bin Laden, demonstraram um grande desrespeito aos valores fundamentais do homem. A noção de justiça deve ser sempre uma noção de ética fundamental a todos os países, com o objetivo de preservar e regulamentar as relações humanas. Sempre que o homem encontrou na vingança um meio de buscar justiça, a humanidade pagou um preço muito alto. Em 1945, mesmo com o fim da segunda guerra mundial já em andamento, os EUA jogaram duas bombas atômicas sobre duas cidades do Japão, milhões de seres humanos morreram neste ataque, que foi mais uma demonstração de vingança, já que o Japão provocou a entrada dos EUA na guerra, bombardeando sua frota militar no Havaí, fato este que também dizimou milhares vidas.  A vingança é uma triste retaliação com objetivos unicamente destrutivos, a qual reflete um senso primitivo do que seja justo. Com a vingança o ser humano não busca acordos ou reconciliações, mas sim fazer com que o outro experimente um dano maior do que causou. Portanto, separar justiça da vingança,  é algo fundamental na busca por uma sociedade mundial, justa, pacifica e desenvolvida. A escola e a família são importantes condutores desse processo.	7
O sentimento de justiça, sendo nato da personalidade humana, torna-se sempre ativo nos casos de violência e atritos gerados por desigualdades sociais, culturais e religiosas, mas esse sentimento muitas vezes é mal interpretado e confundido por vingança. É natural aspirarmos que a justiça seja feita, porém de formas pacíficas, analizando as consequências que atos mal pensados podem acarretar, evitando, assim, um ciclo vicioso por "justiça". Uma "justiça" que, em casos agudos, tira bruscamente a vida de pessoas que não fazem parte desse ciclo e perdem o direito de construir a sua história e viver a sua maneira. A justiça é a cima de tudo a junção de valores, os quais devemos presar, deixando como exemplo atitudes dignas e adquirindo uma postura consciente do desejo da mesma e não de vingança. Só assim pode-se diminuir a violência que nos rodeia e viver em um ambiente justo e igualitário, onde não seja constante as inúmeras quantidades de notícias desagradáveis nos programas informativos da televisão.  E no qual as pessoas não vibrem com a imagem distorcida da justiça e sim com a justiça de fato.	4
O governo norte-americano informou, recentemente, que chegou ao fim a caçada ao mais procurado criminoso dos últimos tempos: Osama Bin Laden. Os aspectos que envolveram a operação militar que pôs fim à vida do líder da facção terrorista islâmica Al-Qaeda suscitaram uma questão que fez a sociedade mundial pensar qual o limite entre a justiça e a vingança. Num primeiro momento, milhares de pessoas nos Estados Unidos e em outras partes do mundo comemoraram com bastante entusiasmo a morte daquele que, desde o ataque ao World Trade Center em 11 de setembro de 2001, era considerado o inimigo número um dos norte-americanos. Essa euforia pode ser explicada pela sensação de segurança que foi restabelecida no momento em que o terrorista que ainda inspirava tanta ameaça foi derrotado, afinal, por dez anos, os nova-iorquinos tornaram-se reféns do medo de novos ataques. No que diz respeito ao procedimento seguido pelos fuzileiros navais do SEAL durante a operação ?Gerônimo?, ainda há obscuridade, pois o mundo aguardava a captura de Bin Laden para que fosse julgado e punido com rigor por todos os seus crimes, e,  não morto e jogado ao mar tendo apenas um exame de DNA como prova do fato, segundo informações oficiais do governo americano. Ação que não se enquadra no conceito de justiça que tem por uma de suas características retirar da sociedade, julgar e punir aquele que tenha transgredido à lei. Ser, o indivíduo, penalizado com atos parecidos ou iguais aos delitos cometidos por ele caracterizou um tempo em que o Estado era ausente e omisso, entretanto, hoje, leis existem para dar à sociedade a satisfação que tanto anseia e para punir criminosos, ainda que o veredicto seja a pena de morte no caso de países em que é permitida, mas que todo o julgamento e condenação sejam feitos à luz do direito e não da mesma maneira utilizada pelo criminoso para causar o dano.	9
Se vingança fosse a solução, por qual motivo existiria a justiça? Olho por olho e dente por dente, não somos mais dessa época. Os valores, as éticas, tudo mudou, o mundo muda e muda muito. A sociedade em que vivemos é quase que totalmente voltada para o emocional, os sentimentos atropelam nossa consciência e nossos atos. Caso Bin Laden tivesse matado algum parente seu, você deixaria a justiça fazer seu papel ou ia preferir se vingar com suas próprias mãos?  A grande maioria se pudesse ter a chance de encontrar o assassino durante um minuto, com certeza o mataria, esses provavelmente não acreditam em justiça, e é claro nunca terão a chance de experimentá-la. São poucos os que se dão uma chance e falam ?que a justiça seja feita?. Matar um homem não é justiça, é agir sem pensar, é se vingar sem consciência do que está fazendo, é ser compulsivo na emoção. Não devemos e não podemos tentar fazer justiça com nossas próprias mãos, muitas vezes podemos estar errados. E se aquele homem teve problemas na infância? E se ele não teve uma base familiar boa? É óbvio que na hora do ocorrido esses motivos serão muito pequenos comparado ao que ele fez. Contudo, será que temos o poder de tirar a vida de alguém, por vingança? Será que nós somos mais evoluídos que outros, para tirar vidas? Uma ação não justificaria a outra. Não é justo que ele mate alguém, e não é justo que você o mate, você estaria se igualando a ele. Somos humanos, pessoas erram e erram feio, e se todo erro fosse julgado como vingança, quantos mortos teríamos? Muitos querem a justiça, entretanto, bem no fundo querem a vingança. Que aliás é um prato que se come frio e no final pode ser muito saboroso ou extremamente difícil de engolir. Não temos a justiça em nossas mãos, temos valores morais e éticos que devem ser cumpridos. E se não forem, que a justiça seja feita, já que ela foi criada para isso. Caso a justiça não ocorra, o que se faz aqui se paga lá. Não podemos nos deixar confundir vingança e justiça. Uma é totalmente diferente da outra, vingança acontece quando você quer retribuir algo que lhe aconteceu, mas matar não é a solução.  Matar é uma forma de esquecer a dor que você sentiu, é fugir de um problema inteiro, só eliminando um milésimo dele. Matar não faz o passado voltar, mas faz seu futuro mudar completamente. Bin Laden pode ter morrido, mas seus seguidores estão livres e pelo governo americano não ter pensado antes, agora todos corremos risco. Devemos ter consciência de nossos atos, se praticarmos a vingança, que consciência nós temos? Que futuro estamos criando? Que ética estamos seguindo?	3
Com a morte de Osama Bin Laden, que foi o mandante do maior ataque terrorista dos Estados Unidos, a população mundial pergunta se o ato foi justiça ou vingança. A questão é que se a constituição estadunidense explicasse e condenasse a prática da vingança, essa dúvida não teria se levantado. Ações como a dos Estados Unidos, em buscar e prender procurados, reacendem a preocupação em fazer justiça ou realizar a vingança.  Saber diferenciá-las é fundamental nesses momentos. Prender criminosos sem prejudicá-los ou matá-los é pouco provável, já que uma ação militar não depende de uma só pessoa. Qualquer ato de vingança, que possa ser punido com a pena de morte, também não surtiria efeito.  ''O fato de nos vingarmos e ainda glorificarmos o próprio feito não faz com que pareçamos iguais aos terroristas?''. A pergunta de Benedict Cary, em O Estado de S. Paulo nos faz refletir sobre a ação da vingança. Sem dúvida, vingar-se e, ainda mais, se vangloriar diante do fato, não faz com que pareçamos pessoas normais. Saber diferenciar a justiça da vingança é algo necessário no mundo atual. As constituições federais devem salientar o que venha a ser a vingança e,  punir adequadamente os praticantes desta. É, sem dúvida, a medida mais cabível.	6.5
A vingança é um instinto natural. Para controlar esse ato criamos mecanismos de estados. A justiça é um deles, porém como a mesma é multilateral as vezes a confundimos com vingança. O caso de Cesare Battiste , ex militante italiano , é um exemplo claro de que a justiça caminha em vários lados, a Brasileira o julga inocente e alega que a justiça Italiana está agindo por vingança. Como consequência podemos estar mantendo um assassino a solta ou acusando um inocente. Já o assassinato de Bin Laden a quem afirme que foi um ato de justiça aos milhares de mortos do atentado de 11 de setembro, ou que foi um mero ato de vingança do governo dos Estados unidos uma vez que a Al-Qaeda continua com suas ameaças. A verdadeira justiça é utópica, uma vez que é feita pelos homens, no entando há proximidade quando é feita com imparcialidade. Por isso se torna necessário a mediação de países sem interesses, principalmente econômicos, no julgamentos dos casos apresentados subitamente.	3
Na sociedade, desde a história, aconteceram fatos que não condizem com a dignidade esperada na humanidade. Crimes como roubo e assassinato afligem quem é vítima de alguma crueldade dessas.  O que esses esperam, no mínimo, é que a justiça seja feita e o responsável pague pelo o que fez. Muitos, porém, acreditam que a vingança alivia a dor causada por algum ato egoísta e, dessa maneira, a justiça estaria sendo feita. Mas, como saber qual o verdadeiro significado de justiça e de vingança? A vingança ocorre quando, por algum motivo, alguém sente a necessidade de causar no culpado a mesma dor que o aflige. Dependendo do que a pessoa vingativa fizer, estaria cometendo também um ato ilegal. Já a realização da justiça, normalmente, está sob responsabilidade das autoridades. Assim, a pessoa que comete crimes, por exemplo,  estará submetida às consequências prescritas na lei. Um exemplo disso foi a morte do ex-líder do grupo terrorista Al-Qaeda, Osama bin Laden. Este cometeu vários atentados aos Estados Unidos. Um deles ocorreu em setembro de 2001, que foi o lançamento de aviões contra as torres gêmeas (em Nova York) e o Pentágono (na capital estadunidense). Em maio de 2011, Osama bin Laden foi morto durante uma operação militar estadunidense, e isso gerou uma grande polêmica: uns acreditam que foi um ato vingativo, pois o próprio país que sofreu atentados o capturou, outros acreditam que foi um ato justo matar o ex-líder do grupo que causou vários estragos e mortes. Então, pode-se perceber a diferença de opiniões tanto para a justiça quanto para a vingança. O importante é não confundir as duas, tendo consciência de que a vingança pode ocasionar problemas, enquanto a justiça é o objetivo das autoridades, tornando-se a melhor opção na maioria dos casos.	3
A morte do principal terrorista do mundo trouxe uma grande repercussão na mídia mundial e comemorações em alguns países, sobretudo nos Estados Unidos. Porém, ao mesmo tempo, surgiu um dilema: matar alguém e comemorar a sua morte é um ato de justiça? Ou de vingança? Para os norte-americanos - principalmente - a execução de Bin Laden propiciou paz e segurança, já que a maior rede terrorista do mundo foi desestruturada.  Essa operação foi amparada pelas leis americanas por fazer, segundo as mesmas, justiça aos parentes das vítimas do 11 de setembro. Mas tal justiça é questionável. Conforme a Constituição Brasileira,  a morte de Osama pelo governo americano poderia ser considerada vingativa; logo, sujeita à desaprovação, uma vez que valores como liberdade, solidariedade e democracia forma desrespeitados. Outro fator que desaprovaria a atitude dos EUA é que, normalmente, vingança gera vingança, e um exemplo foi o ataque feito pelo Talibã contra o Paquistão que levou à morte quase 100 pessoas. A milícia confirmou que o ataque foi o primeiro ato de vingança por Bin Laden. Para que a humanidade não se autodestrua é preciso que os seres humanos pratiquem a justiça e os outros valores universais e deixem a vingança apenas para o universo cinematográfico.	5
As comemorações ocorridas, nos Estados Unidos, pela morte de Osama Bin Laden fizeram surgir uma nova dúvida: até que ponto pode-se distinguir o justo do vingativo? A dificuldade de se encontrar conceitos que se usem difundidamente para o justo e a vingança consiste, principalmente, na grande diversidade cultural da qual o mundo está formado. Ou seja, conceitos são passíveis de divergência em países diferentes, dependendo da cultura da sociedade a que se refere. Um exemplo disso é o uso da burca pelas mulheres muçulmanas. Nós, como parte da cultura ocidental, podemos achar injusto, pois simbolizaria a submissão da mulher ao marido. Porém, a maioria das mulheres muçulmanas defendem o uso, alegando que a igualdade entre elas não dá margem de vantagem pela aparência. Da mesma maneira que o justo, o conceito de vingança também é variável com a cultura, com o tempo, e, atualmente, também influenciada pelo poder econômico e pela mídia. Um bom exemplo é a atual morte de Bin Laden pelas forças estadunidenses. Exaltada pela mídia como guerra contra o terror, e possível graças ao poderio bélico norteamericano , a invasão americana não passa de uma vingança pelo atentado às torres gêmeas. Porém, festejada como justa. Logo, para distinguir o justo do vingativo deve-se tomar em conta os vários fatores que interferem na sua distinção. Se for dentro de uma mesma sociedade, facilitar-se-á a distinção; contudo, para aqueles a que se referem a culturas diferentes será necessário um maior senso crítico. Este, desenvolvido nas escolas a partir de professores competentes tornando o aluno de hoje numa pessoa crítica, capaz de entender a realidade à qual está submetido.	7
Atualizado em 27/06/2011. Um ambiente considerado seguro, onde pais deixam seus filhos na esperança que tenham um futuro promissor, assim é a escola. A preocupação com o deslocamento dos filhos por ruas perigosas, agora aumenta com a incerteza de estarem seguros dentro de salas de aula. À mídia tem mostrado diversos casos de alunos ou ex-alunos que por algum motivo acharam que a saída para seu problema era se munir de arma de fogo e assassinar inocentes. Nestes casos, o que a sociedade espera é que se encontre um culpado para o crime, que alguém seja responsabilizado pela barbárie. Mas geralmente estes crimes se ressumem na morte ou suicídio do autor. Avaliando casos como o massacre de Realengo é que deveria ser estruturado um sistema prático e eficiente de segurança nas escolas, contratando psicólogos para trabalhos e análise em sala de aula, disponibilizar monitores para circular entre os alunos durante os intervalos das aulas, evitando assim as agressões verbais (bullyng) . Bem como dispor de uma sala de recepção já no portão da escola, para atendimento ao público, evitando a entrada de estranhos na escola. Com procedimentos assim é que pode-se evitar tragédias como a de Realengo.	4
Os brasileiros ficaram chocados com o atentado que tirou a vida de doze estudantes numa escola do Rio de Janeiro. A comoção é geral, porque a criança representa a alegria do presente e a esperança do futuro. Após a tragédia sempre se busca os culpados, as causas que motivaram uma ação tão violenta contra crianças indefesas. Muitos especialistas são consultados, elaboram suas teses, dão os seus pareceres, mas nada fica esclarecido ou explicado, pelo menos não a contento. Seria providencial se um especialista pudesse em rede nacional, dizer o que todo o mundo já sabe: violência gera violência. Nossas crianças e jovens são expostos à doses maciças de violência, quer nos desenhos que assistem, nos games, filmes, noticiários, praticamente toda a programação da TV tem como centro a violência explícita. O pefil sócio-emocional de crianças e jovens expostos às essas programações fatalmente terá uma tendência à violência, e isso não é teoria é uma realidade, basta observar o comportamento das pessoas no trânsito onde por qualquer desentendimento eles partem da discussão verbal para a agressão física, por causa de namorada briga termina em morte,  ser repreendido pelo professor já justifica agredí-lo , e muitos outros casos de total intolerância e desrespeito às pessoas e às leis, e em casos mais acerbados culminando em chacinas. A sociedade tem que perder essa capacidade de esquecer tragédias e lutar com afinco para reverter esse quadro. Como solução a curto prazohá que se exigir do governo uma política séria e comprometida com a segurança física dos alunos dentro de uma unidade escolar, que é o mínimo que se pode esperar de um governo constituído. Aos pais cabem a tarefa de cuidarem melhor da educação de seus filhos. Ter um filho é ter consciência da responsabilidade direta e intransferível pela formação de seus valores morais, sociais, emocionais, para que ele possa ser um cidadão que respeita e é respeitado no convívio social, que saiba resolver seus problemas e diferenças através do diálogo permeado de tolerância ao próximo. É cada um assumindo sua parte que faremos um país mais pacífico para todos.	6.5
Inocentes mortos, pais desesperados, crianças feridas, fatos ocorridos no de 07 de abril de 2011, no Rio de Janeiro, por Wellington Menezes de Oliveira com uma calibre 38 contra os alunos da Escola Municipal Tasso da Silveira.  Alguns especialistas afirmam que a causa de tudo foi por transtornos mentais, já outros por sofrer bullying,  mas ninguém sabe ao certo o que foi que levou a ele cometer esses assassinatos. Wellington , estudou na escola Tasso Oliveira, seus amigos afirmam que ele sofria bullying, principalmente pelas garotas, e que seu único amigo era um garoto estranho onde os colegas da sala chamava ele de ?bixa?.  Era órfã, antes de falecer sua mãe sofria de esquizofrenia , ficando apenas com a companhia de sua irmã adotada, primos, avôs e tias mas ele dizia que após a morte dos seus pais ele não tinha mais ninguém. A tragédia ocorrida estava sendo planejada a mais de 6 meses, sobre grande influência da internet, falta de comportamento social e fácil acesso as armas ilegais, esses são os únicos fatos que especialistas podem afirmar, porque as outras não passam que mera hipóteses que não foram comprovadas. Porém se ele não tivesse tido domínio nessas armas, talvez tudo poderia ter sido diferente,  se o bullying já fosse crime na época dele, talvez tudo poderia ter sido diferente,  se a policia evitasse essas armas sendo vendidas ilegalmente, talvez tudo poderia ter sido diferente e se pelo ao menos o Brasil fizesse sua parte, talvez tudo poderia ser diferente, poupando vidas de varias pessoas inocentes que saem de casa com a esperança de voltar e talvez tudo poderia ser diferente.	2
As tragédias têm o poder de nos aterrorizar em um primeiro momento, para depois provocar inúmeros questionamentos. O massacre de Realengo no Rio de Janeiro, além da comoção nacional, provocou debates acerca dos motivos que levaram aquele rapaz a praticar tamanha insanidade. Com o objetivo de dar uma resposta rápida e mais cômoda, nossos políticos levantam a bandeira do desarmamento. Buscam, com isso, jogar a responsabilidade para a sociedade. Esquecem que essa matéria já foi tratada no Plebiscito, o qual refletiu a opinião nacional pela não proibição à venda de armas. Prevenir crimes dessa magnitude não passa por atitudes simplistas como essa. Há outros fatores que favorecem ou incentivam massacres de inocentes, quais sejam o fanatismo religioso, distúrbio mental ou vingança. Esse último parece ser o motivador principal, uma vez que depoimentos dos ex-colegas de sala de aula dão conta que o atirador de Realengo era discriminado. Essa circunstância também aflora nos caos ocorridos em outros países, notadamente no EUA. Por tudo que foi exposto e pela complexidade do assunto, as ações comunitárias e governamentais não podem se restringir à proibição da venda de armas. Deve contemplar estudos científicos dos casos havidos, explicitando, à sociedade, os motivos e consequências sociais. Precisa fomentar a mudança comportamental seja no ambiente familiar, escolar ou no trabalho, afim de que nossas ações sejam mais solidárias e justas, as quais podem evitar futuros eventos que traumatizam comunidades e nações.	9
Em Abril de 2011, um crime sem escrúpulos chocou o país, devido a nunca ter ocorrido algo semelhante no Brasil e os motivos, ainda desconhecidos, que levou o indivíduo a fazer esta tamanha barbaridade. Circundam sobre esse incidente, vários rumores do que poderia ter motivado o assassino a realizar este massacre, entre eles o bullying, que ele sofreu em sua idade escolar, insanidade mental e a ligação com redes terroristas. Entretanto, o principal questionamento não é as raízes do crime e sim a deficiência na segurança da escola que o permitiu acontecer . As famílias, diante a esse triste fato, tentam atribuir uma culpa -a culpa funciona estrategicamente para amenizar a enorme dor que se sente diante às perdas, pois ela sacia a sede de justiça que se sente no momento- assim elas questionam a falta de segurança, que de fato foi o estopim para esse crime culminar. Qualquer fatalidade pode ser prevenida, mas não prevista. A falta de precaução por parte dos funcionários que permitiram a entrada do criminoso, imaginando que nunca isso poderia ocorrer nos mostra que "todo cuidado é pouco" e que devemos nos preparar para situações imagináveis. Mediante a isto , o prefeito e o governador do Rio de Janeiro, mandaram guardas municipais para a escola. Infelizmente precisou isso acontecer para que essa medida de segurança fosse adotada. Chacina como essa já aconteceu em outros países, e os perfis dos autores sempre têm semelhanças, geralmente todos sofreram de bullying. Práticas para erradicá-lo poderiam colocar um fim nesses tipos de barbáries. Também, o acompanhamento de indivíduos que tem traços psicopatas e o tratamento dos mesmos não só evitaria esse tipo de crime, mas também outros. E por fim, uma maior e mais rígida segurança nas escolas, com sistemas de monitoramentos, rastreamento de armas e policiais auxiliando no controle das entradas e saídas. Então, conclui-se, que todo mal possui uma prevenção, só não há prevenção para o resultado que a maioria dos males causam, a morte.	4.5
O mundo vem sofrendo com as chacinas escolares que cada vez mais vem tirando a vida de inocentes.  O que leva uma pessoa a cometer tal violência contra estudantes? Na maioria das vezes são pessoas perturbadas, com distúrbios mentais e falta do acompanhamento dos pais. Mas nada vem a justificar tal maneira de agir. Há apenas um mês o Brasil, exatamente no Rio de Janeiro, presenciou um fato marcante que chocou o mundo, onde um ex-aluno da escola Tasso da Silveira agiu de forma inexplicável acabando com a vida de várias crianças indefesas, que sonhavam com um futuro e tinham toda uma vida pela frente. Não só no Brasil, mas em outros países já aconteceram tais fatos que arrasaram toda a sociedade. E nós nus perguntamos, porque um ser humano agir dessa maneira não respeitando o próximo, destruindo a vida de pessoas que mal chegaram ao mundo.  Como eles se acham tão poderosos acabando com o bem mais precioso que foi concedido por Deus. E a sociedade se questiona: o que precisamos fazer para muda essa situação? Alias já tentaram fazer várias coisas como nos Estados Unidos que professores portam armas dentro da sala de aula como maneira de se defender ou piorar ainda mais a situação. A sociedade não se deu de conta de que a forma mais eficaz de evitar tais acontecimentos é combater desde muito pequenos as crianças, ensinando através da palavra de Deus nas escolas, para que possam crescer respeitando os outros e não agindo dessa forma descontrolada. Lembre-se; Deus disse: Aquele que mim segue não andara nas trevas, mas terá a luz da vida.	3
Massacre vem sendo atos que estão acontecendo cada vez mais em escolas principalmente, talvez a possível causa seja o Bulling uma ação irracional cometida por muitos que se acham superiores, se sentindo com o poder de humilhar tanto de maneira psicológica quanto física outro individuo, mas geralmente o agressor não tem noção da repercussão que esse ato desumano pode trazer posteriormente. A vítima pode não reagir com uma ação imediataguardando um sentimento de vingança que com o tempo pode vir átona , descontando sua raiva e rancor em pessoas que nunca lhe fizeram mal apenas por encontrar alguma semelhança com o seu agressor do passado, o governo esta tomando medidas como a criação de uma lei ant-Bulling , mas pelo visto como as demais leis no Brasil essa só ficara no papel não se tomando uma medida que realmente poderá diminuir esse problema. O Bulling pode levar uma pessoa a cometer um assassinato, mas não a única razão dele por que uma pessoa que é capaz de matar outro individuo só pode ter algum distúrbio psicológico, não possuindo qualquer sentimento, em realizar um ato tão monstruoso, pois ninguém se torna um psicopata, a pessoa que é capaz de matar já nasce com um distúrbio que o torna diferente dos outras sem a emoção que o torna realmente humano.  Uma pessoa normal sabe que mesmo sofrendo humilhações jamais poderá tirar a vida de outro ser humano. Devem-se tomar medidas tanto para identificar o Bulling nas escolas ou em qualquer outro lugar que ele esteja sendo cometido, de forma que se elimine essa ameaçaevitando que pessoas passem por humilhações que poderão despertar um sentimento de vingança. Outra medida é o acompanhamento psicológico das criançasanalisando se ela esta preparada ou não para viver em convive-o social, tratando-o das que apresentarem distúrbios evitando atos nocivos a outras pessoas.	3
Até hoje, um mês depois, filósofos, psicólogos, especialistas e a população brasileira procura entender o levou acontecer o massacre na escola de Realengo. As ideias ficam em torno de que Wellington Menezes de Oliveira, causador de 11 mortes (nove meninas e dois meninos), teria distúrbio mental e bullying. Sua religião e genética também foi importante nos estudos. Apesar de tantos estudos, ninguém realmente sabe o que se passou na cabeça do atirador, e nunca irá saber. Todas as ideias e opiniões são especulações a partir do se conseguiu encontrar do passado de Wellington. A escola de Realengo não foi a primeira vítima que o mundo vivenciou.  Mais de dez casos o mundo assistiu e chorou junto com as famílias que perderam seus filhos. O caso mais conhecido e com o maior número de mortos foi o massacre da Universidade Estadual de Virgínia, com 33 mortos. A pergunta que a população mais se faz é: "É póssivel prever um massacre?" e a resposta infelizmente é não. Ninguém pode prever que um ser humano irá utilizar anos de sua vida para elaborar um plano com um final trágico. Nem a família de Wellington preveu . O Brasil "precisou" de um massacre para tomar precausões , para segurança do país, a esperança do povo brasileiro é que essas medidas tenha resultado. Uma das medidas a ser tomada, talvez a mais importante é investir na área de educação, ensinando aos estudantes não tratar os alunos com indiferença, para que no futuro famílias não chore com outro terror.	3
Timidez, reclusão, buling . São estas as três palavras que mais se falam quando acontece um fato como o de Realengo. Palavras que tomam para sí a culpa e vergonha que deveriam ser de todos: dos políticos, que se fazem de cegos diante da falta de segurança, da (falta de) educação de ajudar, sempre isolam ainda mais esses indivíduos. Inúmeros casos como o de Realengo já foram e vão continuar sendo noticiados. Estamos todos sujeitos a isto , nunca se sabe quando os problemas de algum perturbado pode vir à tona, atingindo outras pessoas. Não há como prevenir totalmente isto . Mas se pode, pelo menos, dar uma vida digna à pessoas com problemas mentais. Será que a mãe de Wellington Menezes teve acompanhamento mental? Será que o próprio Wellington te nas escolas públicas, e o mal(ou inexistente) acompanhamento à pessoas que sofrem problemas mentais; e também da sociedade que ao invés ve acompanhamento psiquiátrico, já que se sabia que sua mãe tinha esquizofremia? Ou será que alguém, na escola, "deu bola" quando ele, ainda pequeno, era alvo de gozações? Sim, para mim ele não é culpado e sua memória não deve ser tratada como tal.  É sim, apenas mais uma vítima da ignorante sociedade atual. Sociedade que não sabe respeitar problemas, características, nem sequer acolher quem precisa de ajuda. Apontar o dedo, rir, é fácil; o difícil é tentar ajudar. O problema o dulling é discutido há muito tempo, mas pouco foi de fato feito para minimizá-lo. Esse, como tantos outros casos, acabarão nas páginas do esquecimento, ao invés do lugar de destaque que tinham quando davam audiência, ajudavam a vender. Aliás, alguém se lembra da garota que foi agredida dentro da faculdade?  Passado o tempo, a vida dos agressores (esses sim culpados) seguiu normalmente. É claro que se deve respeito à memória das crianças mortas, que pagaram pelo crime de outros. Mas que tal começar a dar educação, a se ensinar a lidar com diferenças? Um crime desses vai acontecer de novo, e de novo... Só tomara que entre um e outro, ao contrário do que acontece hoje, alguém "diferente" seja tratado, pelo menos, com dignidade.	1.5
O dia 07 de abril de 2011 ficou marcado para muita gente; em especial, para a população de Realengo, cidade do Rio de Janeiro, que realizou uma série de passeatas demonstrando indignação e pedindo por paz, principalmente. O episódio ocorrido na referida data ficou conhecido como massacre de Realengo, em que um ex-aluno da escola Tasso de Oliveira, ao realizar mais de 60 disparos com um revólver, matou 12 estudantes. Wellington Menezes de Oliveira, autor do crime, contava com duas armas, entre elas, uma roubada. Mas qual seria o motivo de tamanha violência contra pessoas que de nada tinham culpa? Segundo familiares do assassino, fatores genéticos poderiam tê-lo levado a realizar o crime, visto que sua mãe sofria de esquizofrenia. Já de acordo com conhecidos e ex-colegas, Wellington não tinha muitos amigos e sofria bullying. Portanto, raiva e angústia poderiam ter motivado o crime. Crimes como esse ocorrem em muitos países, independente de suas diferenças. São geralmente homens que se vingam de acontecimentos ocorridos no passado,  e, após isso, cometem suicídio. Homens, esses, que guardaram más lembranças em sua memória e que necessitavam de algum tipo de tratamento especial. Portanto, a sociedade pode, sim, ajudar a evitar acontecimentos como esse. Mesmo desconhecendo as reais razões que levaram a essa e a outras tragédias mundo afora, é certo que a prevenção vai além da proibição do porte de armas ilegais, ou da instalação de detectores de metais nas escolas. Mesmo com tudo isso, é impossível saber se a tragédia seria evitada. A escola e os pais devem estar atentos ao comportamento dos alunos e dos filhos e buscar ajuda nos casos de dificuldade. Afinal, se haviam mesmo problemas com o Wellington, sejam mentais ou de relacionamento, por que ninguém procurou solucioná-los?	7.5
